rank,junction_clean,volume,impact,active_days,active_cells,high_sev_events,junction_events,top_violation,top_vehicle,peak_dow,peak_hour,intensity,c_volume,c_impact,c_recur,c_intensity,priority_score,impact_share,cum_impact_share,volume_share,cum_volume_share
71,"BTP099 - Cash Pharmacy, Residency Road",308,1044.0,65,9,42,308,NO PARKING,CAR,Friday,5,34.22222222222222,0.025788937902952155,0.02847682119205298,0.4189189189189189,0.021158336556505796,10.466110305536386,0.0027183571124485915,0.9027679593183797,0.002501319689771389,0.905258456165997
72,"BTP117 - 9th Cross, Kanakapura Road",238,738.0,68,6,8,238,WRONG PARKING,SCOOTER,Saturday,3,39.666666666666664,0.01985069562266712,0.020033112582781457,0.4391891891891892,0.024668013236494906,10.45048379140857,0.0019215972691446939,0.9046895565875244,0.0019328379420960734,0.9071912941080931
73,BTP167 - JC Road Junction,321,1011.0,63,7,17,321,WRONG PARKING,SCOOTER,Friday,8,45.857142857142854,0.02689175432643366,0.027566225165562914,0.40540540540540543,0.028658607712284276,10.309557734380084,0.002632432031307975,0.9073219886188324,0.002606894871482519,0.9097981889795755
74,BTP218 - Syndicate Bank Junction,304,922.5,62,8,4,304,WRONG PARKING,SCOOTER,Sunday,6,38.0,0.025449609772650154,0.025124172185430463,0.39864864864864863,0.023593622416090077,9.969711628883896,0.0024019965864308674,0.9097239852052633,0.0024688350184756567,0.9122670239980512
75,"BTP102 - BMTC Junction, KH Road",140,420.0,68,8,0,140,NO PARKING,CAR,Thursday,10,17.5,0.01153715643026807,0.011258278145695364,0.4391891891891892,0.010378615325110663,9.679617441667823,0.0010935919417896633,0.910817577147053,0.0011369634953506313,0.9134039874934018
76,"BTP186 - 9th Cross, 4th Main, Jayanagar",532,1596.0,46,6,0,532,WRONG PARKING,SCOOTER,Monday,3,88.66666666666667,0.04479131319986427,0.04370860927152318,0.2905405405405405,0.05625510335639692,9.528178081656003,0.00415564937880072,0.9149732265258538,0.004320461282332399,0.9177244487757342
77,"BTP177 - Aurobindo Circle, ORR",166,546.0,62,6,16,166,WRONG PARKING,CAR,Friday,11,27.666666666666668,0.013742789277231082,0.014735099337748345,0.39864864864864863,0.01693239932958013,9.1549711180548,0.0014216695243265622,0.9163948960501803,0.0013481138587728915,0.9190725626345071
78,BTP037 - KR Circle,191,615.0,60,9,14,191,NO PARKING,CAR,Tuesday,4,21.22222222222222,0.015863590091618595,0.01663907284768212,0.38513513513513514,0.012778088157348117,8.952649277480356,0.0016013310576205783,0.9179962271078009,0.0015511430543712185,0.9206237056888783
79,"BTP197 - 9th Cross, 24th Main, JP Nagar",202,670.5,59,8,22,202,WRONG PARKING,CAR,Friday,10,25.25,0.016796742449949102,0.018170529801324505,0.3783783783783784,0.015374532639993124,8.938056373712296,0.0017458414213570694,0.919742068529158,0.0016404759004344826,0.9222641815893128
80,BTP103 - Shanti Nagar TTMC,120,363.0,62,6,1,120,NO PARKING,CAR,Thursday,10,20.0,0.009840515778758059,0.009685430463576158,0.39864864864864863,0.011990201555717908,8.78703153589665,0.0009451758925467803,0.9206872444217048,0.0009745401388719698,0.9232387217281848
81,BTP034 - LRDE Junction,183,558.0,58,6,3,183,WRONG PARKING,CAR,Wednesday,5,30.5,0.015184933831014592,0.015066225165562913,0.3716216216216216,0.01875886372426834,8.696681284021597,0.0014529150083776954,0.9221401594300825,0.001486173711779754,0.9247248954399645
82,BTP085 - Briyand Circle,139,465.0,60,7,17,139,WRONG PARKING,SCOOTER,Saturday,2,19.857142857142858,0.011452324397692568,0.0125,0.38513513513513514,0.011898110913968923,8.662244098343013,0.0012107625069814128,0.9233509219370639,0.0011288423275266984,0.9258537377674912
83,BTP078 - NR Square Junction,204,619.5,53,3,3,204,WRONG PARKING,SCOOTER,Tuesday,8,68.0,0.0169664065151001,0.01676324503311258,0.33783783783783783,0.04293265718337702,8.496452386119357,0.0016130481141397532,0.9249639700512037,0.0016567182360823487,0.9275104560035736
84,"BTP163 - 16th Main Road, BTM Layout",305,916.5,51,10,1,305,NO PARKING,SCOOTER,Saturday,12,30.5,0.02553444180522565,0.02495860927152318,0.32432432432432434,0.01875886372426834,8.407454021010592,0.0023863738444053007,0.927350343895609,0.0024769561862995897,0.9299874121898732
85,BTP109 - Dewan Madhava Rao Junction,259,780.0,52,7,1,259,NO PARKING,SCOOTER,Thursday,4,37.0,0.02163216830675263,0.02119205298013245,0.3310810810810811,0.02294898792384718,8.356543343986544,0.0020309564633236602,0.9293813003589326,0.002103382466398668,0.9320907946562719
